# El Centro 1940 NS - FFT Matched to Hospital UHS
# Target band: 0.2-1.5s
# Spectral match: 96.34%
# AI: 3.5695 m/s, CAV: 21.6147 m/s
# Generated: 2026-02-14 10:56:20
# time(s) acceleration(m/s^2)
0.000000e+00 -4.374954e-04
2.000000e-02 -5.539476e-04
4.000000e-02 -6.612830e-04
6.000000e-02 -6.705383e-04
8.000000e-02 -6.300914e-04
1.000000e-01 -4.889378e-04
1.200000e-01 -3.287371e-04
1.400000e-01 -1.159311e-04
1.600000e-01 6.771858e-05
1.800000e-01 2.712309e-04
2.000000e-01 4.329432e-04
2.200000e-01 6.183746e-04
2.400000e-01 7.689225e-04
2.600000e-01 9.404626e-04
2.800000e-01 1.054665e-03
3.000000e-01 1.150141e-03
3.200000e-01 1.141747e-03
3.400000e-01 1.081526e-03
3.600000e-01 9.147300e-04
3.800000e-01 7.355981e-04
4.000000e-01 5.261302e-04
4.200000e-01 4.003678e-04
4.400000e-01 3.294349e-04
4.600000e-01 3.883945e-04
4.800000e-01 4.868942e-04
5.000000e-01 6.377135e-04
5.200000e-01 7.038520e-04
5.400000e-01 6.879433e-04
5.600000e-01 4.815302e-04
5.800000e-01 1.528870e-04
6.000000e-01 -3.261950e-04
6.200000e-01 -8.115280e-04
6.400000e-01 -1.287339e-03
6.600000e-01 -1.605707e-03
6.800000e-01 -1.793057e-03
7.000000e-01 -1.770460e-03
7.200000e-01 -1.643384e-03
7.400000e-01 -1.391661e-03
7.600000e-01 -1.147906e-03
7.800000e-01 -8.758382e-04
8.000000e-01 -6.643931e-04
8.200000e-01 -4.186905e-04
8.400000e-01 -1.844243e-04
8.600000e-01 1.506010e-04
8.800000e-01 5.181527e-04
9.000000e-01 9.840339e-04
9.200000e-01 1.421097e-03
9.400000e-01 1.856113e-03
9.600000e-01 2.153236e-03
9.800000e-01 2.376790e-03
1.000000e+00 2.456393e-03
1.020000e+00 2.536872e-03
1.040000e+00 2.604607e-03
1.060000e+00 2.822840e-03
1.080000e+00 3.135570e-03
1.100000e+00 3.620413e-03
1.120000e+00 4.105021e-03
1.140000e+00 4.565967e-03
1.160000e+00 4.766829e-03
1.180000e+00 4.691894e-03
1.200000e+00 4.174537e-03
1.220000e+00 3.327084e-03
1.240000e+00 2.123092e-03
1.260000e+00 8.041295e-04
1.280000e+00 -5.833200e-04
1.300000e+00 -1.781050e-03
1.320000e+00 -2.793914e-03
1.340000e+00 -3.447068e-03
1.360000e+00 -3.849783e-03
1.380000e+00 -3.910551e-03
1.400000e+00 -3.804024e-03
1.420000e+00 -3.467344e-03
1.440000e+00 -3.095789e-03
1.460000e+00 -2.633423e-03
1.480000e+00 -2.296243e-03
1.500000e+00 -2.039346e-03
1.520000e+00 -2.085698e-03
1.540000e+00 -2.352439e-03
1.560000e+00 -2.986716e-03
1.580000e+00 -3.772397e-03
1.600000e+00 -4.711773e-03
1.620000e+00 -5.453290e-03
1.640000e+00 -5.944397e-03
1.660000e+00 -5.871366e-03
1.680000e+00 -5.345592e-03
1.700000e+00 -4.293614e-03
1.720000e+00 -3.091681e-03
1.740000e+00 -1.855018e-03
1.760000e+00 -1.017636e-03
1.780000e+00 -5.599935e-04
1.800000e+00 -6.332031e-04
1.820000e+00 -8.365484e-04
1.840000e+00 -9.856224e-04
1.860000e+00 -5.146377e-04
1.880000e+00 7.104937e-04
1.900000e+00 2.968449e-03
1.920000e+00 5.948928e-03
1.940000e+00 9.435479e-03
1.960000e+00 1.283657e-02
1.980000e+00 1.587499e-02
2.000000e+00 1.832667e-02
2.020000e+00 2.036478e-02
2.040000e+00 2.254404e-02
2.060000e+00 2.524086e-02
2.080000e+00 2.907110e-02
2.100000e+00 3.384869e-02
2.120000e+00 4.002363e-02
2.140000e+00 4.167580e-02
2.160000e+00 4.163186e-02
2.180000e+00 7.655152e-03
2.200000e+00 -1.512386e-02
2.220000e+00 -1.784359e-02
2.240000e+00 -3.547043e-02
2.260000e+00 -3.284231e-02
2.280000e+00 -3.395701e-02
2.300000e+00 -2.285083e-02
2.320000e+00 -1.469509e-02
2.340000e+00 2.954595e-03
2.360000e+00 2.256814e-02
2.380000e+00 4.161417e-02
2.400000e+00 8.097688e-02
2.420000e+00 4.614377e-03
2.440000e+00 -2.472490e-01
2.460000e+00 -1.759209e-01
2.480000e+00 -2.011562e-01
2.500000e+00 -1.317929e-01
2.520000e+00 -7.910511e-02
2.540000e+00 2.609306e-02
2.560000e+00 -7.404687e-02
2.580000e+00 -2.423295e-01
2.600000e+00 -2.027579e-01
2.620000e+00 -2.156292e-01
2.640000e+00 -1.893350e-01
2.660000e+00 -1.527400e-01
2.680000e+00 -1.144787e-01
2.700000e+00 -7.189706e-02
2.720000e+00 -3.421447e-02
2.740000e+00 1.735448e-03
2.760000e+00 2.721959e-02
2.780000e+00 4.649392e-02
2.800000e+00 -1.395595e-02
2.820000e+00 -8.205460e-02
2.840000e+00 -1.539013e-01
2.860000e+00 -1.724700e-01
2.880000e+00 -1.272527e-01
2.900000e+00 -8.822352e-02
2.920000e+00 -2.022303e-02
2.940000e+00 4.299774e-02
2.960000e+00 1.109131e-01
2.980000e+00 1.603129e-01
3.000000e+00 2.005018e-01
3.020000e+00 7.929932e-02
3.040000e+00 2.369946e-02
3.060000e+00 5.477480e-02
3.080000e+00 4.584163e-02
3.100000e+00 8.219997e-02
3.120000e+00 1.058982e-01
3.140000e+00 1.461210e-01
3.160000e+00 1.754529e-01
3.180000e+00 1.999285e-01
3.200000e+00 1.937046e-02
3.220000e+00 8.224354e-03
3.240000e+00 5.948621e-02
3.260000e+00 5.057209e-02
3.280000e+00 1.397824e-01
3.300000e+00 1.478162e-01
3.320000e+00 2.587863e-01
3.340000e+00 -1.656619e-01
3.360000e+00 -2.087649e-01
3.380000e+00 -1.075609e-01
3.400000e+00 -8.004694e-02
3.420000e+00 1.382649e-02
3.440000e+00 1.037553e-01
3.460000e+00 -1.506896e-01
3.480000e+00 -2.077055e-01
3.500000e+00 -1.378410e-01
3.520000e+00 -1.421440e-01
3.540000e+00 -7.597097e-02
3.560000e+00 -4.394060e-02
3.580000e+00 1.758793e-03
3.600000e+00 1.451608e-03
3.620000e+00 -9.859872e-02
3.640000e+00 -6.983920e-02
3.660000e+00 -9.273678e-02
3.680000e+00 -7.556263e-02
3.700000e+00 -6.566534e-02
3.720000e+00 -2.598974e-02
3.740000e+00 6.070544e-03
3.760000e+00 3.021852e-02
3.780000e+00 -1.936232e-02
3.800000e+00 -5.129671e-02
3.820000e+00 -7.757559e-02
3.840000e+00 -2.502605e-02
3.860000e+00 3.372384e-03
3.880000e+00 6.852840e-02
3.900000e+00 1.245088e-01
3.920000e+00 2.013707e-01
3.940000e+00 2.618335e-01
3.960000e+00 3.158714e-01
3.980000e+00 1.306403e-01
4.000000e+00 7.200948e-02
4.020000e+00 9.729698e-02
4.040000e+00 8.735464e-02
4.060000e+00 2.035110e-02
4.080000e+00 -7.490756e-03
4.100000e+00 2.664665e-02
4.120000e+00 3.212428e-02
4.140000e+00 7.666841e-02
4.160000e+00 1.005891e-01
4.180000e+00 1.491808e-01
4.200000e+00 1.741753e-01
4.220000e+00 2.195696e-01
4.240000e+00 2.428792e-01
4.260000e+00 2.897528e-01
4.280000e+00 2.796168e-01
4.300000e+00 3.068261e-01
4.320000e+00 2.891675e-01
4.340000e+00 2.291947e-01
4.360000e+00 -1.185440e-01
4.380000e+00 -9.151958e-03
4.400000e+00 1.765994e-02
4.420000e+00 2.653644e-02
4.440000e+00 -1.003033e-01
4.460000e+00 -1.882426e-01
4.480000e+00 -3.145091e-01
4.500000e+00 -2.556060e-01
4.520000e+00 -2.302782e-01
4.540000e+00 -1.540124e-01
4.560000e+00 -1.042807e-01
4.580000e+00 -1.742908e-02
4.600000e+00 3.896492e-02
4.620000e+00 1.177279e-01
4.640000e+00 1.685256e-01
4.660000e+00 2.204817e-01
4.680000e+00 -7.447423e-02
4.700000e+00 -1.004686e-01
4.720000e+00 -3.610429e-02
4.740000e+00 -5.874094e-03
4.760000e+00 8.272283e-02
4.780000e+00 1.595620e-01
4.800000e+00 2.325905e-01
4.820000e+00 3.310131e-01
4.840000e+00 2.227712e-01
4.860000e+00 -2.227351e-01
4.880000e+00 -1.597185e-01
4.900000e+00 -1.611429e-01
4.920000e+00 -1.203444e-01
4.940000e+00 -3.879088e-02
4.960000e+00 -1.396654e-01
4.980000e+00 -2.552098e-01
5.000000e+00 -1.806418e-01
5.020000e+00 -1.944301e-01
5.040000e+00 -1.498045e-01
5.060000e+00 -1.332768e-01
5.080000e+00 -9.824637e-02
5.100000e+00 -6.977431e-02
5.120000e+00 -8.320020e-02
5.140000e+00 -1.837942e-01
5.160000e+00 -1.907233e-01
5.180000e+00 -1.892697e-01
5.200000e+00 -1.994121e-01
5.220000e+00 -1.491304e-01
5.240000e+00 -1.406177e-01
5.260000e+00 -6.309931e-02
5.280000e+00 -1.983526e-01
5.300000e+00 -3.157907e-01
5.320000e+00 -1.896116e-01
5.340000e+00 -1.815922e-01
5.360000e+00 -7.330378e-02
5.380000e+00 -1.096791e-02
5.400000e+00 7.494801e-02
5.420000e+00 1.333627e-01
5.440000e+00 1.652964e-01
5.460000e+00 9.910758e-02
5.480000e+00 4.695908e-02
5.500000e+00 5.417043e-03
5.520000e+00 4.618666e-02
5.540000e+00 6.978558e-02
5.560000e+00 1.223098e-01
5.580000e+00 1.633211e-01
5.600000e+00 2.099072e-01
5.620000e+00 2.440832e-01
5.640000e+00 2.683832e-01
5.660000e+00 1.685497e-01
5.680000e+00 5.724488e-02
5.700000e+00 -1.765898e-02
5.720000e+00 -6.652452e-03
5.740000e+00 8.907003e-03
5.760000e+00 4.090317e-02
5.780000e+00 2.566974e-02
5.800000e+00 2.947338e-03
5.820000e+00 1.714957e-02
5.840000e+00 4.688514e-02
5.860000e+00 5.040165e-02
5.880000e+00 6.265993e-02
5.900000e+00 9.153203e-02
5.920000e+00 1.162488e-01
5.940000e+00 1.609414e-01
5.960000e+00 2.027449e-01
5.980000e+00 2.374023e-01
6.000000e+00 1.850067e-01
6.020000e+00 1.303601e-01
6.040000e+00 5.068790e-02
6.060000e+00 6.664003e-02
6.080000e+00 6.574491e-02
6.100000e+00 5.306660e-02
6.120000e+00 -3.251755e-02
6.140000e+00 -4.637067e-02
6.160000e+00 -5.020168e-02
6.180000e+00 -4.659935e-02
6.200000e+00 -3.612444e-02
6.220000e+00 -2.570183e-02
6.240000e+00 -8.582763e-02
6.260000e+00 -1.144479e-01
6.280000e+00 -1.233948e-01
6.300000e+00 -9.317204e-02
6.320000e+00 -6.479257e-02
6.340000e+00 -4.434240e-02
6.360000e+00 -3.806089e-02
6.380000e+00 -4.302722e-03
6.400000e+00 1.252186e-02
6.420000e+00 2.545963e-02
6.440000e+00 2.156218e-02
6.460000e+00 -1.792505e-02
6.480000e+00 -8.255163e-02
