# El Centro 1940 NS - GWM Matched to Hospital UHS
# Target band: 0.2-1.5s
# Spectral match: 97.13%
# AI: 3.1902 m/s, CAV: 19.5384 m/s
# Generated: 2026-02-14 10:56:20
# time(s) acceleration(m/s^2)
0.000000e+00 -1.991460e-03
2.000000e-02 -1.583940e-02
4.000000e-02 -1.484325e-02
6.000000e-02 -1.299867e-02
8.000000e-02 -1.414719e-02
1.000000e-01 -1.801138e-02
1.200000e-01 -2.151910e-02
1.400000e-01 -1.983277e-02
1.600000e-01 -1.768262e-02
1.800000e-01 -1.464381e-02
2.000000e-01 -1.543836e-02
2.200000e-01 -2.316068e-02
2.400000e-01 -3.088382e-02
2.600000e-01 -3.475810e-02
2.800000e-01 -3.135902e-02
3.000000e-01 -3.005109e-02
3.200000e-01 -2.604841e-02
3.400000e-01 -2.337995e-02
3.600000e-01 -1.840492e-02
3.800000e-01 -2.248716e-02
4.000000e-01 -3.211831e-02
4.200000e-01 -4.026079e-02
4.400000e-01 -3.989031e-02
4.600000e-01 -1.870679e-02
4.800000e-01 -1.688228e-03
5.000000e-01 1.838102e-02
5.200000e-01 -5.068001e-03
5.400000e-01 -1.149753e-02
5.600000e-01 -8.149210e-03
5.800000e-01 -1.086591e-02
6.000000e-01 -1.332000e-02
6.200000e-01 -1.732764e-02
6.400000e-01 -9.721692e-03
6.600000e-01 1.367369e-02
6.800000e-01 1.214848e-02
7.000000e-01 1.745809e-02
7.200000e-01 1.549625e-02
7.400000e-01 2.566687e-02
7.600000e-01 3.275096e-02
7.800000e-01 4.242274e-02
8.000000e-01 4.431234e-02
8.200000e-01 3.423700e-02
8.400000e-01 3.303645e-02
8.600000e-01 3.768196e-02
8.800000e-01 2.816643e-02
9.000000e-01 4.709588e-03
9.200000e-01 -1.493821e-02
9.400000e-01 -3.602990e-02
9.600000e-01 -4.609940e-02
9.800000e-01 -3.164894e-02
1.000000e+00 -1.750117e-02
1.020000e+00 7.649245e-03
1.040000e+00 3.571218e-02
1.060000e+00 6.524682e-02
1.080000e+00 7.246806e-02
1.100000e+00 8.590494e-02
1.120000e+00 7.898055e-02
1.140000e+00 1.012314e-01
1.160000e+00 7.243330e-02
1.180000e+00 5.405508e-03
1.200000e+00 -2.055200e-02
1.220000e+00 1.559105e-02
1.240000e+00 3.633585e-02
1.260000e+00 6.768843e-02
1.280000e+00 8.626102e-02
1.300000e+00 9.894245e-02
1.320000e+00 1.033072e-01
1.340000e+00 1.057029e-01
1.360000e+00 1.079533e-01
1.380000e+00 1.196440e-01
1.400000e+00 1.228334e-01
